afzkl/development/mColorPicker,Development Aid
android/content/pm,Development Aid
android/opengl,Development Aid
android/support/design,Development Aid
android/support/multidex,Development Aid
android/support/v13,Development Aid
android/support/v4,Development Aid
android/support/v7,Development Aid
android/widget,GUI Component
anet/channel,Development Aid
anetwork/channel/aidl,Development Aid
anywheresoftware,Development Aid
appinventor,Development Aid
appmachine,Development Aid
au/com/bytecode/opencsv,Development Aid
aurelienribon,Development Aid
biz/neoline,Development Aid
bolts,Development Aid
butterknife,GUI Component
ch/boye/httpclientandroidlib,Development Aid
ch/qos/logback,Development Aid
cn/domob,Advertisement
cn/jiguang,Development Aid
cn/jpush/android,Development Aid
cn/sharesdk/evernote,Social Network
cn/sharesdk/framework,Social Network
cn/sharesdk/onekeyshare,Social Network
cn/sharesdk/socialization,Social Network
cn/sharesdk/tencent,Social Network
cn/smssdk,Development Aid
cn/uc/gamesdk,Game Engine
com/ace/universalimageloader,Development Aid
com/actionbarsherlock,Development Aid
com/activeandroid,Development Aid
com/adfonic,Advertisement
com/adjust/sdk,Mobile Analytics
com/admob,Advertisement
com/adobe/air,Development Aid
com/adobe/flashplayer,Development Aid
com/adobe/flashruntime,Development Aid
com/adobe/fre,Development Aid
com/adobe/plugin,Development Aid
com/adobe/xmp,Development Aid
com/adsdk,Advertisement
com/adsmogo,Advertisement
com/adtech,Advertisement
com/adwhirl,Advertisement
com/adwo/adsdk,Advertisement
com/alibaba/fastjson,Development Aid
com/alibaba/mtl,Development Aid
com/alimama/mobile,Social Network
com/alipay,Payment
com/aliyun,Development Aid
com/amap,Map/LBS
com/amazon/ags,Game Engine
com/amazon/device/ads,Advertisement
com/amazon/device/associates,Advertisement
com/amazon/device/iap,Payment
com/amazon/identity/auth,Digital Identity
com/amazon/inapp,Payment
com/amazon/insights,Mobile Analytics
com/amazonaws,Development Aid
com/android/vending,App Market
com/android/volley,Development Aid
com/androidplot,Development Aid
com/androidquery,Development Aid
com/ansca/corona,Development Aid
com/anzhi/market,App Market
com/appbrain,Development Aid
com/appbyme,Development Aid
com/apperhand,Advertisement
com/appflood,Advertisement
com/applovin,Advertisement
com/appmakr,Development Aid
com/appodeal/ads,Advertisement
com/appquanta,Mobile Analytics
com/appquanta/,Mobile Analytics
com/appsflyer,Mobile Analytics
com/appyet,Development Aid
com/astuetz,GUI Component
com/auth0/android,Development Aid
com/auth0/jwt,Development Aid
com/autonavi/aps/amapapi,Map/LBS
com/aviary,Development Aid
com/avos/avoscloud,Development Aid
com/avos/avoscloud/okhttp,Development Aid
com/badlogic,Game Engine
com/baidu/android,Development Aid
com/baidu/android/pushservice,Development Aid
com/baidu/appx,Advertisement
com/baidu/autoupdatesdk,Development Aid
com/baidu/bdgame/sdk,Social Network
com/baidu/cyberplayer,Development Aid
com/baidu/frontia,Development Aid
com/baidu/location,Map/LBS
com/baidu/mapapi,Map/LBS
com/baidu/mapapi/,Map/LBS
com/baidu/mobads,Advertisement
com/baidu/mobstat,Mobile Analytics
com/baidu/mtjstatsdk,Development Aid
com/baidu/navi,Map/LBS
com/baidu/navisdk,Map/LBS
com/baidu/paysdk,Payment
com/baidu/platform,Development Aid
com/baidu/sapi2,Development Aid
com/baidu/searchsdk,Development Aid
com/baidu/tiebasdk,Social Network
com/baidu/wallet,Payment
com/batch,Mobile Analytics
com/bda/controller,Game Engine
com/bea/xml/stream,Development Aid
com/biznessapps,Development Aid
com/bugsense,Development Aid
com/bumptech/glide,Development Aid
com/chartboost/sdk,Advertisement
com/chineseall/reader,Development Aid
com/commonsware/cwac/merge,Development Aid
com/commonsware/cwac/sacklist,Development Aid
com/comscore,Mobile Analytics
com/conduit/app,Development Aid
com/coolcloud/uac/android,Development Aid
com/coremedia/iso,Development Aid
com/crashlytics/android,Mobile Analytics
com/crowdcompass,Development Aid
com/daggertech,Development Aid
com/daimajia/androidanimations,GUI Component
com/db4o,Development Aid
com/deploygate,Development Aid
com/digits/sdk/vcard,Mobile Analytics
com/doapps,Development Aid
com/dobao,Development Aid
com/dropbox/client2,Development Aid
com/duoku/platform,Social Network
com/easemob/,Development Aid
com/esotericsoftware,Development Aid
com/espian/showcaseview,GUI Component
com/everyplay,Game Engine
com/facebook,Social Network
com/fasterxml,Development Aid
com/flurry/android,Mobile Analytics
com/flurry/org,Mobile Analytics
com/flurry/sdk,Mobile Analytics
com/fyber,Advertisement
com/github,Development Aid
com/goodbarber,Development Aid
com/google/ads,Advertisement
com/google/analytics,Mobile Analytics
com/google/android/apps/dashclock/api,Development Aid
com/google/android/exoplayer,Development Aid
com/google/android/gcm,Development Aid
com/google/android/gms,Development Aid
com/google/android/net,Development Aid
com/google/android/vending,App Market
com/google/android/youtube/player,Development Aid
com/google/api/client,Development Aid
com/google/appinventor,Development Aid
com/google/common,Development Aid
com/google/firebase,Development Aid
com/google/gdata,Development Aid
com/google/gson,Development Aid
com/google/i18n,Development Aid
com/google/inject,Development Aid
com/google/maps/android,Map/LBS
com/google/protobuf,Development Aid
com/google/tagmanager,Mobile Analytics
com/google/thirdparty,Development Aid
com/google/zxing,Development Aid
com/googlecode/apdfviewer,Development Aid
com/handmark/pulltorefresh,GUI Component
com/heyzap,Development Aid
com/huawei/android,Development Aid
com/huawei/ecs,Development Aid
com/huntmads,Advertisement
com/iapppay,Payment
com/ibm/icu,Development Aid
com/iflytek,Development Aid
com/iflytek/speech,Development Aid
com/iflytek/speech/aidl,Development Aid
com/iflytek/sunflower,Development Aid
com/iflytek/thirdparty,Development Aid
com/igaworks,Advertisement
com/igexin,Development Aid
com/immersion/hapticmediasdk,Development Aid
com/inmobi,Advertisement
com/inneractive,Advertisement
com/ironsource,Development Aid
com/iwanvi,Development Aid
com/j256,Development Aid
com/jakewharton/disklrucache,Development Aid
com/jakewharton/disklrucache/,Development Aid
com/jasonkostempski,Development Aid
com/jayway/jsonpath,Development Aid
com/jcodecraeer/xrecyclerview/progressindicator/indicator,Development Aid
com/jcraft/jsch,Development Aid
com/jirbo/adcolony,Development Aid
com/jumptap,Advertisement
com/kakao/talk,Social Network
com/kbeanie/imagechooser,Development Aid
com/koushikdutta/async,Development Aid
com/kuguo/ad,Advertisement
com/leadbolt,Development Aid
com/lenovo/lps,Development Aid
com/letv/adlib,Advertisement
com/letv/datastatistics,Mobile Analytics
com/letv/lepaysdk,Payment
com/letv/sdk,Development Aid
com/letvcloud,Development Aid
com/lidroid/xutils,Development Aid
com/loopj,Development Aid
com/madhouse/android/ads,Advertisement
com/magtab,Development Aid
com/mashape/relocation,Development Aid
com/maximono,Social Network
com/melnykov/fab,GUI Component
com/milkmangames/extensions/android/coremobile,Development Aid
com/millennialmedia,Advertisement
com/mindprod/ledatastream,Development Aid
com/mob/commons,Social Network
com/mob/tools,Development Aid
com/mobcent,Social Network
com/mobclick/android,Mobile Analytics
com/mobeta,GUI Component
com/mobfox,Development Aid
com/mobisage/android,Advertisement
com/mongodb,Development Aid
com/mopub,Advertisement
com/myappengine,Game Engine
com/myshare/dynamic,Social Network
com/naef/jnlua,Development Aid
com/nd/dianjin,Advertisement
com/neatplug/u3d/plugins,Development Aid
com/nerd/TapdaqUnityPlugin,Development Aid
com/netease/nim,Development Aid
com/newrelic,Development Aid
com/ngpinc/,Mobile Analytics
com/nhaarman/listviewanimations,Development Aid
com/nineoldandroids,Development Aid
com/nokia/payment/iap,Payment
com/nostra13,Development Aid
com/nuance,Development Aid
com/nv/support/pulltorefresh,GUI Component
