app_question_number,question,answer_numeric_list
1.1,Precise location for app features:,"[1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, -1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, -1.0, 2.0, 0.0, 2.0, 1.0, 2.0, 1.0, -1.0, -1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, -1.0, -1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 0.0, 2.0, -2.0, 2.0, 0.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 0.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, -1.0, 2.0, 1.0, 0.0, 0.0, -1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 0.0, -2.0, 2.0, 2.0, 1.0, 2.0, 1.0, -1.0, -2.0, 2.0]"
1.2,Camera for app features:,"[1.0, 0.0, -1.0, 2.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 0.0, -1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0, -1.0, 2.0, -2.0, 2.0, 1.0, 1.0, 2.0, -1.0, 1.0, -1.0, -2.0, 1.0, 1.0, 1.0, 2.0, 1.0, -2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 0.0, 2.0, 2.0, 0.0, 2.0, 1.0, -1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, -1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, -1.0, 2.0, -2.0, 1.0, 2.0, -1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, -1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, -1.0, 1.0, 1.0, 2.0, 1.0, 2.0, -1.0, -1.0, 2.0, 0.0, 2.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, -2.0, -1.0, 1.0, 1.0, -1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 2.0, 1.0, -1.0, 2.0, 1.0, 2.0, 1.0, 2.0, -1.0, -1.0, 2.0, -1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 1.0, -2.0, 2.0, -1.0, 1.0, 2.0, 1.0, 0.0, -1.0, 1.0]"
1.3,Microphone for app features:,"[1.0, -1.0, -1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, -2.0, 2.0, 2.0, 1.0, 2.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, -2.0, 1.0, 2.0, 1.0, 2.0, -1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 1.0, 0.0, -1.0, 1.0, -1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, -2.0, 2.0, -2.0, 1.0, 2.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 2.0, -1.0, -1.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 0.0, 1.0, 1.0, -1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, -2.0, 0.0, 2.0, 1.0, 0.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, -2.0, 2.0, 2.0, 0.0, 2.0, -1.0, 1.0, 1.0, 0.0, 2.0, -1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 1.0, -2.0, 2.0, -2.0, 0.0, 1.0, 1.0, -1.0, 0.0, 2.0]"
1.4,Read and modify contacts for app features:,"[0.0, 2.0, 0.0, 2.0, 1.0, -1.0, 1.0, 1.0, 2.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, -2.0, 2.0, -1.0, -1.0, 1.0, 2.0, 0.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 2.0, 0.0, 2.0, 1.0, -1.0, 2.0, 1.0, -1.0, 1.0, -2.0, 1.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 2.0, -1.0, 1.0, 2.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 0.0, -1.0, -1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, -1.0, 0.0, 0.0, -1.0, -1.0, 1.0, 0.0, -2.0, -1.0, 2.0, 2.0, 0.0, 1.0, -1.0, 2.0, -2.0, 2.0, -1.0, -1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0, -2.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0, 2.0, 1.0, -1.0, 2.0, -1.0, -1.0, 2.0, -2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, -1.0, 1.0, 1.0, 1.0, -2.0, -2.0, 2.0, -1.0, 2.0, 0.0, 2.0, 0.0, -1.0, 2.0, 0.0, 0.0, 0.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, -2.0, 1.0, -2.0, 1.0, 0.0, 1.0, -1.0, -2.0, 1.0]"
1.5,Read and modify calendars for app features:,"[1.0, 2.0, 0.0, 2.0, 1.0, 0.0, 2.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, -1.0, 1.0, 1.0, 1.0, -2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, -1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 1.0, 2.0, -2.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 2.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 2.0, 1.0, -1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, -1.0, 2.0, 0.0, -1.0, 0.0, 0.0, 1.0, -2.0, 1.0, 2.0, 2.0, -1.0, 1.0, 1.0, 2.0, -2.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, -2.0, 2.0, 2.0, -1.0, 0.0, 2.0, 1.0, 2.0, 0.0, 2.0, -1.0, 1.0, 1.0, 2.0, -1.0, -1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 1.0, 1.0, -2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, -2.0, 1.0]"
1.6,Read and modify external storage for app features:,"[1.0, 2.0, -1.0, 2.0, 1.0, -1.0, 1.0, -1.0, 2.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, -2.0, 2.0, -1.0, 1.0, 1.0, 2.0, 1.0, -1.0, 1.0, -1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 2.0, -1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, -2.0, 1.0, 1.0, 1.0, 2.0, 0.0, -1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 2.0, 2.0, 0.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, -1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 2.0, 2.0, 1.0, -1.0, 2.0, -2.0, 2.0, 2.0, 2.0, -1.0, 1.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, -1.0, 2.0, 1.0, -1.0, 2.0, 1.0, 1.0, 2.0, 1.0, -1.0, 1.0, 0.0, 1.0, 2.0, -1.0, 1.0, 1.0, -2.0, 2.0, 2.0, 2.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 2.0, 0.0, 2.0, 0.0, 1.0, 1.0, -1.0, -2.0, 0.0, -1.0, 1.0, 2.0, 1.0, 1.0, 1.0, -1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 1.0, 1.0, -2.0, 2.0, -2.0, 0.0, -1.0, 1.0, 0.0, -2.0, 1.0]"
1.7,Body sensor and activity data for app features:,"[-2.0, 0.0, -1.0, 2.0, 1.0, 0.0, 2.0, -2.0, 1.0, -1.0, -2.0, 2.0, -1.0, 1.0, 1.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 2.0, 1.0, 1.0, -2.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, -2.0, 0.0, 2.0, 1.0, 1.0, 0.0, 2.0, 2.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, -1.0, 2.0, 1.0, 1.0, 1.0, 0.0, -1.0, 0.0, -2.0, 1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 2.0, 2.0, 2.0, 1.0, -2.0, 2.0, -2.0, -2.0, -2.0, -2.0, 0.0, 0.0, -2.0, 0.0, 1.0, -1.0, 0.0, 1.0, 1.0, 1.0, 1.0, -1.0, 2.0, -2.0, 2.0, 1.0, -1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 1.0, -2.0, 2.0, 2.0, 0.0, 2.0, 0.0, 2.0, 2.0, -1.0, 1.0, -2.0, 2.0, 2.0, -1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, -1.0, 1.0, -2.0, -1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 2.0, 2.0, 0.0, 2.0, 2.0, 1.0, 2.0, 0.0, 2.0, -1.0, 0.0, 1.0, 2.0, -1.0, -1.0, 1.0, -1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 0.0, 0.0, -1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0]"
2.1,Camera for app features:,"[0.0, 2.0, -1.0, 2.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 0.0, 2.0, 2.0, 1.0, 2.0, 2.0, -1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 2.0, -1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 0.0, 2.0, -2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 0.0, 2.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 2.0, 0.0, 1.0, -1.0, 2.0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 2.0, -2.0, 2.0, 2.0, 1.0, 1.0, -2.0, -2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 0.0, -2.0, 1.0, 0.0, 1.0, 2.0, -2.0, 0.0, 1.0, 1.0, 0.0, 0.0, -1.0, -1.0, 2.0, -1.0, 2.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, -2.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, -1.0, 2.0, 2.0, -1.0, 2.0, 2.0, 1.0, 2.0, 0.0, 2.0, -1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 1.0, 0.0, -1.0]"
2.2,Read and modify external storage for app features:,"[0.0, 1.0, 0.0, 2.0, 1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, -1.0, -2.0, 2.0, 1.0, 1.0, -1.0, 0.0, 1.0, 0.0, 1.0, -2.0, 2.0, -1.0, 0.0, 1.0, 0.0, 0.0, -1.0, 1.0, -1.0, 2.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, -1.0, 0.0, 2.0, 1.0, 1.0, -1.0, 1.0, 1.0, -2.0, 1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, -1.0, 1.0, 2.0, 0.0, 1.0, 2.0, -1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, -1.0, 0.0, 1.0, 0.0, -2.0, 1.0, 2.0, 2.0, 2.0, 1.0, -1.0, 2.0, 2.0, 2.0, 0.0, 0.0, -2.0, -2.0, 1.0, -1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, -1.0, 1.0, 1.0, 0.0, 0.0, -2.0, 1.0, -1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 2.0, -1.0, 2.0, 2.0, 1.0, 2.0, -1.0, 0.0, 2.0, 1.0, -1.0, 1.0, 0.0, 0.0, 1.0, -2.0, 1.0, 1.0, -2.0, 1.0, 1.0, 2.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, -1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, -1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 0.0, 2.0, -2.0, 1.0, 1.0, 1.0, -1.0, -1.0]"
2.3,Read and modify external storage for social networking (media sharing):,"[0.0, 1.0, -1.0, 2.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 1.0, -1.0, 2.0, 1.0, 1.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.0, 1.0, -1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 1.0, -1.0, 0.0, 2.0, 1.0, 1.0, -1.0, 2.0, 2.0, -2.0, 1.0, 1.0, 2.0, 0.0, 2.0, -2.0, -1.0, 1.0, -1.0, -1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 0.0, 2.0, 2.0, -2.0, 1.0, 0.0, -1.0, 0.0, 1.0, 1.0, -1.0, 0.0, -1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, -2.0, 1.0, 2.0, 2.0, -1.0, 1.0, -1.0, 2.0, 0.0, 2.0, 1.0, -1.0, 1.0, 0.0, 0.0, -2.0, 1.0, -1.0, 0.0, 0.0, 1.0, 1.0, -1.0, 1.0, 2.0, 2.0, -1.0, 2.0, 2.0, 1.0, 2.0, 1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, -1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 1.0, -1.0, 1.0, -1.0, 0.0, 2.0, -2.0, 1.0, 2.0, -2.0, 1.0, 1.0, 1.0, -1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, -1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 1.0, -2.0, 1.0, 2.0, 1.0, -1.0, 1.0]"
