app_question_number,question,answer_numeric_list
1.1,Precise location for app features:,"[0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, -1.0, -1.0, 1.0, 1.0, 2.0, -1.0, -1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 0.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, -1.0, -1.0, 2.0, -2.0, 1.0, -1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 2.0, 2.0, 2.0, -1.0, 2.0, 1.0, 1.0, -1.0, 2.0, 2.0, 1.0, 1.0, -2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 0.0, -1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 0.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 1.0, -1.0, 2.0, 2.0, 2.0, 2.0, -1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, -2.0, 0.0, 1.0, -2.0, -2.0, 0.0, 1.0, 2.0, -1.0, 1.0, 2.0, -2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 0.0, 2.0, -1.0, 2.0, 2.0, 1.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, -2.0, 1.0, 1.0, 2.0, 1.0, -1.0, 1.0, 0.0, 2.0, -1.0, 0.0, 2.0, 2.0, 0.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 2.0, 1.0, 0.0, 2.0, 1.0, -1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, -1.0, -2.0]"
1.2,Precise location for analytics related uses:,"[0.0, 0.0, 0.0, 2.0, 1.0, 0.0, -1.0, 2.0, -2.0, 0.0, -2.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, -2.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, -1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 1.0, -2.0, 1.0, 2.0, -1.0, 1.0, -1.0, 2.0, 2.0, 1.0, 2.0, -2.0, 0.0, 2.0, 2.0, -2.0, -1.0, 2.0, 1.0, 0.0, -1.0, 1.0, 2.0, 2.0, 1.0, -2.0, 1.0, -1.0, 1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 2.0, 1.0, 0.0, -1.0, 1.0, 2.0, 2.0, 1.0, -1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, -2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0, -2.0, 2.0, 2.0, 2.0, 0.0, -2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, -2.0, 1.0, 1.0, -2.0, -1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 2.0, -1.0, 1.0, 2.0, -1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0, -1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, -1.0, -1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, -1.0, -2.0, 1.0, 2.0, -1.0, 0.0, 1.0, 0.0, 0.0, 2.0, -1.0, 0.0, 0.0, 2.0, -1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 0.0, 2.0, 0.0, -2.0, -1.0, 2.0, 1.0, 0.0, 2.0, 1.0, -1.0, 1.0]"
1.3,Precise location for payment related services:,"[-2.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 1.0, 2.0, 2.0, -1.0, 1.0, 1.0, 2.0, -1.0, -1.0, 1.0, 0.0, 1.0, -1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, -2.0, 1.0, -1.0, 1.0, 0.0, -1.0, 2.0, 1.0, 0.0, 1.0, -2.0, 2.0, -1.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 0.0, 2.0, 0.0, -2.0, 1.0, 2.0, -2.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 2.0, 1.0, 2.0, -2.0, -1.0, 1.0, -1.0, 2.0, -2.0, -1.0, 1.0, -1.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 1.0, -1.0, -1.0, 0.0, -1.0, 2.0, 2.0, 2.0, 2.0, -2.0, 0.0, 1.0, 2.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, -2.0, -1.0, 2.0, 0.0, 2.0, -1.0, 2.0, 1.0, -1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, -2.0, 1.0, 0.0, 0.0, 0.0, -2.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0, -1.0, 2.0, 2.0, 1.0, 2.0, 2.0, -1.0, 0.0, 0.0, -2.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, -2.0, -2.0, -2.0, 2.0, 1.0, -1.0, 1.0, 2.0, 1.0, -2.0, -2.0, 2.0, 2.0, -1.0, -2.0, 1.0, 2.0, 1.0, 2.0, -1.0, 1.0, 0.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 0.0, -2.0, 2.0, 0.0, -2.0, 2.0, 1.0, -1.0, -2.0]"
1.4,"Camera for app features (profile pictures, event check-ins):","[1.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, -1.0, 2.0, 1.0, 0.0, 0.0, -2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 1.0, -2.0, 1.0, 1.0, 1.0, -1.0, 0.0, 2.0, 2.0, 0.0, 1.0, -1.0, 0.0, -1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, -2.0, 0.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 0.0, 2.0, 1.0, 2.0, -1.0, 1.0, 0.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 0.0, -2.0, 1.0, 2.0, -1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, -1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, -1.0, 2.0, 2.0, 2.0, 1.0, -2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -2.0, 0.0, 2.0, 0.0, 0.0, -2.0, -1.0, 2.0, -1.0, 0.0, 2.0, 2.0, -1.0, 2.0, 2.0, 0.0, 2.0, 2.0, 1.0, 2.0, 2.0, -1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 0.0, -1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, -2.0, 2.0, 2.0, 0.0, 1.0, 0.0, 0.0, -1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 1.0, -1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0, 1.0, -2.0, -1.0, 1.0, -1.0, -1.0]"
1.5,"Read and modify external storage for app features (media sharing, caching):","[0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 1.0, -1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, -1.0, 0.0, -1.0, 2.0, 1.0, 1.0, 1.0, 0.0, -1.0, -1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, -2.0, 1.0, 0.0, 1.0, 2.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 2.0, 1.0, 2.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -1.0, 2.0, -2.0, 1.0, 1.0, 0.0, 1.0, 1.0, -2.0, 1.0, 0.0, 0.0, -1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, -1.0, 2.0, 0.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 2.0, -2.0, -1.0, 2.0, 0.0, -1.0, 1.0, 0.0, -1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, -1.0, 1.0, 2.0, 1.0, 0.0, -2.0, 1.0, -2.0, 2.0, 0.0, -1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, -1.0, 1.0, -1.0, 2.0, 0.0, -2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, -2.0, 0.0, 0.0, -2.0, 1.0, 1.0, 0.0, -2.0]"
1.6,Read and modify external storage for third-party services (temporary data):,"[-2.0, 2.0, -1.0, 2.0, 0.0, -1.0, -1.0, 1.0, 0.0, 0.0, 0.0, -1.0, -2.0, 1.0, 0.0, 0.0, -2.0, -1.0, 1.0, 0.0, 1.0, -1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, -2.0, 0.0, 1.0, -1.0, 0.0, -1.0, -1.0, -2.0, -1.0, 1.0, -1.0, -2.0, -1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, -2.0, 1.0, -1.0, 0.0, 0.0, 0.0, -2.0, -1.0, -1.0, -1.0, 0.0, 2.0, -1.0, -1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 0.0, 2.0, 0.0, 2.0, -1.0, -2.0, 1.0, -1.0, 0.0, 2.0, 1.0, -1.0, 1.0, -1.0, 1.0, 2.0, 1.0, -1.0, 1.0, 1.0, -1.0, 0.0, -2.0, -1.0, 2.0, -2.0, -1.0, 1.0, -1.0, 2.0, 1.0, -2.0, 0.0, 1.0, 0.0, -1.0, 1.0, 1.0, 2.0, -1.0, -1.0, 2.0, 0.0, 1.0, -2.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0, 0.0, 1.0, 0.0, -1.0, -2.0, -1.0, 2.0, 0.0, -1.0, 2.0, 1.0, -1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 0.0, 2.0, -2.0, -2.0, 2.0, -1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, -2.0, 2.0, -1.0, -2.0, 0.0, 0.0, 0.0, -2.0, -1.0, -1.0, 0.0, 1.0, -1.0, 2.0, 2.0, 1.0, -1.0, 0.0, 1.0, 0.0, 2.0, 1.0, -2.0, 1.0, 1.0, -2.0, 2.0, 1.0, -1.0, -2.0]"
1.7,Microphone for app features :,"[-1.0, 0.0, 0.0, 2.0, 1.0, -1.0, 0.0, 2.0, 2.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, -1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, -1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, -1.0, 0.0, 2.0, 1.0, 1.0, 2.0, -1.0, 2.0, 2.0, -2.0, 1.0, 1.0, 1.0, 1.0, -2.0, 0.0, -1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, -1.0, 2.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 1.0, -2.0, 0.0, 0.0, 0.0, -1.0, 0.0, 1.0, 2.0, -2.0, -1.0, -1.0, 2.0, 2.0, 1.0, 2.0, 0.0, 1.0, 1.0, -1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 2.0, 2.0, -2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, -2.0, 1.0, 1.0, -2.0, 0.0, -2.0, -1.0, 2.0, 1.0, -1.0, 2.0, 2.0, -1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 2.0, -2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, -1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, -2.0, 2.0, 0.0, -1.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, -2.0, 2.0, 1.0, -1.0, -2.0]"
1.8,Device-specific identifiers for app features (session management):,"[-2.0, 2.0, 0.0, 2.0, 1.0, 0.0, -1.0, 1.0, 1.0, -1.0, 1.0, 2.0, -1.0, 2.0, 1.0, 1.0, -1.0, 0.0, 2.0, 1.0, 1.0, -1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 0.0, -1.0, -1.0, 2.0, -1.0, 1.0, 0.0, -1.0, -1.0, -2.0, 2.0, 1.0, 1.0, 2.0, -1.0, -1.0, 1.0, -2.0, 1.0, 2.0, 1.0, 2.0, -1.0, -2.0, 0.0, -1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, -1.0, -2.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -2.0, -1.0, 2.0, 2.0, 2.0, -1.0, 1.0, 2.0, 0.0, -1.0, 1.0, 2.0, -2.0, 0.0, -1.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 0.0, -1.0, 1.0, 2.0, 1.0, -1.0, -1.0, 0.0, 1.0, 1.0, 2.0, -2.0, 1.0, 2.0, 1.0, 0.0, 2.0, -1.0, -2.0, 2.0, 1.0, 1.0, -2.0, 2.0, -1.0, 1.0, 2.0, -1.0, 1.0, 2.0, -1.0, -1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 1.0, 2.0, 2.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 2.0, 2.0, -1.0, -2.0, 2.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0]"
1.9,"Device-specific identifiers for payment related services (security, session recovery):","[-2.0, 2.0, 0.0, 2.0, 1.0, 0.0, -1.0, 2.0, 1.0, -1.0, 2.0, -2.0, -1.0, 0.0, 1.0, 2.0, -2.0, -1.0, 1.0, 1.0, 1.0, -2.0, 1.0, -1.0, 2.0, 2.0, -1.0, 1.0, -2.0, 1.0, -1.0, -1.0, 0.0, -1.0, -2.0, 2.0, -1.0, 1.0, -1.0, 0.0, -1.0, -2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 2.0, -2.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0, 2.0, 2.0, 0.0, 1.0, -1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 0.0, 2.0, 1.0, 1.0, -2.0, -1.0, 0.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, -1.0, 2.0, -2.0, 2.0, 2.0, -2.0, 1.0, 0.0, 0.0, 2.0, 1.0, -2.0, 1.0, -1.0, 1.0, 1.0, -2.0, 1.0, 2.0, 0.0, 1.0, 0.0, -1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -2.0, 1.0, 2.0, 1.0, 1.0, 2.0, -1.0, -2.0, 2.0, 2.0, 1.0, 1.0, 2.0, -1.0, 1.0, 0.0, -1.0, 1.0, 1.0, -1.0, 1.0, 2.0, -1.0, -2.0, 2.0, -2.0, -2.0, -2.0, 1.0, 1.0, 2.0, 2.0, 1.0, -2.0, 1.0, 2.0, 0.0, 0.0, -2.0, 2.0, 2.0, 1.0, -2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, -1.0, 1.0, 2.0, 2.0, 1.0, -2.0, 1.0, 0.0, -1.0, 1.0, 1.0, -1.0, -2.0]"
2.1,Send and read SMS for app features :,"[1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, -2.0, 1.0, -2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0, 0.0, 2.0, 2.0, 2.0, -1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 2.0, -1.0, -1.0, 2.0, 2.0, -1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, -1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, -2.0, 1.0, 1.0, 2.0, -2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, -1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, -1.0, 1.0]"
