app_question_number,question,answer_numeric_list
1.1,"Precise location for third-party services (notifications, ads, analytics):","[-2.0, 1.0, -1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, -2.0, -2.0, 1.0, -1.0, 1.0, 1.0, 2.0, -1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, -1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 0.0, -2.0, 1.0, 1.0, 1.0, 0.0, -2.0, 1.0, 1.0, 1.0, 2.0, -2.0, 2.0, 2.0, 2.0, 1.0, -2.0, 1.0, -1.0, 1.0, -2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 1.0, -1.0, 1.0, -2.0, 2.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 0.0, -2.0, 1.0, 1.0, 2.0, -1.0, 1.0, -1.0, 0.0, 1.0, 1.0, -1.0, 2.0, 2.0, 2.0, 0.0, 0.0, -2.0, 2.0, 2.0, 1.0, 1.0, 1.0, -1.0, 1.0, -2.0, -2.0, 2.0, -2.0, 0.0, -1.0, 0.0, -1.0, 1.0, 0.0, 1.0, -2.0, 1.0, 2.0, -1.0, 0.0, 1.0, 0.0, 1.0, 1.0, -1.0, -2.0, 0.0, 0.0, -2.0, 0.0, -2.0, -1.0, 1.0, 2.0, -1.0, 2.0, 1.0, 2.0, 2.0, 0.0, 1.0, -2.0, 2.0, 2.0, 0.0, -1.0, 2.0, 1.0, 1.0, 2.0, -2.0, -2.0, 2.0, 0.0, 1.0, -2.0, -2.0, -2.0, 2.0, -1.0, -2.0, -1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 2.0, 2.0, 1.0, -1.0, -1.0, 2.0, -1.0, 1.0, 1.0, 2.0, -1.0, 0.0, 2.0, -1.0, -2.0, 1.0, 2.0, -2.0, -1.0, 1.0, -2.0, 2.0, -2.0, -1.0, 0.0, 1.0, -2.0, -2.0]"
1.2,Camera for app features (QR code scanning):,"[1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, -2.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, -2.0, 0.0, 2.0, 1.0, 1.0, -2.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, -1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 2.0, -1.0, 1.0, -2.0, 1.0, 2.0, 2.0, -1.0, -1.0, -1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, -1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, -2.0, 1.0, -1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 2.0, 1.0, 2.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, -1.0, -1.0, -1.0, 0.0, -1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 2.0, -1.0, -1.0, 2.0, 0.0, -1.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 2.0, 0.0, -1.0, 2.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, -2.0, -1.0, 1.0, 1.0, -1.0, -1.0]"
1.3,Read and modify external storage for app features (saving and sharing content):,"[0.0, 0.0, -1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 1.0, -1.0, -1.0, 1.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0, 2.0, 1.0, 0.0, -1.0, 1.0, 1.0, 1.0, -1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, -2.0, 1.0, 2.0, 2.0, 1.0, -1.0, 2.0, 0.0, 1.0, -1.0, 0.0, 2.0, 1.0, -1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, -1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 0.0, -1.0, -1.0, 0.0, 1.0, 1.0, -2.0, 2.0, 0.0, 2.0, 1.0, 0.0, 1.0, -2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, -1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 1.0, -1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 0.0, -2.0, 1.0, 1.0, 1.0, 0.0, 1.0, -1.0, 1.0, 2.0, 1.0, 2.0, 0.0, 2.0, 0.0, -1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 1.0, -1.0, 2.0, 0.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, -1.0, -1.0, 2.0, -1.0, 0.0, -2.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0, 2.0, -2.0, 0.0, 1.0, 1.0, 1.0, -1.0]"
1.4,"Read and modify external storage for third-party services (logs, analytics):","[-2.0, 0.0, -1.0, 2.0, 1.0, -1.0, 1.0, 1.0, 2.0, -1.0, 0.0, 0.0, -1.0, 1.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, -2.0, 1.0, -1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, -2.0, 1.0, 0.0, -1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, -1.0, 1.0, 1.0, 2.0, -2.0, 0.0, -2.0, 2.0, 1.0, -1.0, 0.0, 1.0, 1.0, -2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, -2.0, 2.0, -1.0, 1.0, 1.0, -1.0, 2.0, -1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, -1.0, -1.0, 2.0, 1.0, 1.0, -1.0, 2.0, 1.0, -2.0, 1.0, 1.0, -2.0, -2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, -1.0, 1.0, 2.0, -2.0, 1.0, -1.0, 1.0, -1.0, 2.0, 1.0, 2.0, -1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, -1.0, -1.0, 0.0, -2.0, 2.0, 1.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 0.0, -1.0, 2.0, -1.0, 1.0, -1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, -1.0, -1.0, 2.0, 1.0, -1.0, -1.0, 0.0, 2.0, -1.0, 1.0, 1.0, 1.0, -1.0, 2.0, 2.0, -1.0, 0.0, 1.0, 1.0, -2.0, 1.0, 1.0, 1.0, 2.0, -2.0, -1.0, 0.0, 1.0, 1.0, -2.0]"
1.5,"Phone status and identifiers for app features (VPN accounts, subscriptions):","[-1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, -2.0, 0.0, 1.0, -1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -2.0, 1.0, 1.0, -1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, -1.0, 0.0, -1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 2.0, -2.0, 0.0, 1.0, 1.0, 2.0, -2.0, 0.0, -2.0, 1.0, 0.0, -1.0, 0.0, -2.0, 1.0, 0.0, 0.0, 2.0, 1.0, -1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, -1.0, 2.0, 1.0, -2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, -1.0, 1.0, 0.0, 1.0, -1.0, 2.0, 1.0, -2.0, 1.0, 1.0, -1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, -1.0, -2.0, 1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, -1.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 2.0, 1.0, 2.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 2.0, -1.0, -1.0, 2.0, 0.0, 0.0, 0.0, -2.0, 0.0, 1.0, -1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, -1.0, -1.0, 2.0, 0.0, 0.0, 1.0, -1.0, 2.0, -2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, -2.0, 1.0, 1.0, -1.0, 1.0, 1.0, 2.0, 1.0]"
1.6,Phone status and identifiers for analytics and diagnosis purposes:,"[0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, -1.0, 2.0, 0.0, 1.0, 0.0, -1.0, 1.0, 1.0, -1.0, 1.0, 2.0, 2.0, 2.0, 1.0, -2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, -1.0, 0.0, -2.0, 0.0, 1.0, -1.0, 1.0, -1.0, 0.0, 0.0, 1.0, 2.0, -2.0, 1.0, -2.0, 2.0, 1.0, -1.0, 0.0, 0.0, 1.0, -1.0, -1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, -1.0, 1.0, -2.0, 2.0, -1.0, 0.0, 1.0, -1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 0.0, 0.0, -1.0, 2.0, -1.0, 1.0, -1.0, 2.0, 0.0, 2.0, 1.0, 1.0, -2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, -1.0, 0.0, -2.0, 0.0, -1.0, 1.0, -1.0, 1.0, 0.0, 2.0, 1.0, 2.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0, -2.0, 1.0, 2.0, -1.0, 2.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, -1.0, 0.0, 2.0, -2.0, 0.0, -1.0, 2.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 2.0, 0.0, -1.0, -1.0, 2.0, 2.0, -2.0, 0.0, -1.0, 2.0, -2.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, -1.0, 0.0, 1.0, -2.0, 1.0, 1.0, -2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0]"
1.7,Phone status and identifiers for payment security:,"[-1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, -1.0, 1.0, 1.0, 0.0, -1.0, 1.0, -1.0, 2.0, 1.0, -2.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -2.0, 0.0, -1.0, 0.0, 1.0, 2.0, 1.0, -2.0, 1.0, -2.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, -2.0, 2.0, 1.0, -1.0, 0.0, 0.0, 1.0, -1.0, 0.0, 2.0, -1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, -1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, -1.0, 0.0, 2.0, 0.0, 2.0, 1.0, 0.0, 1.0, -1.0, 1.0, 0.0, 1.0, -1.0, 2.0, 2.0, 2.0, -1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, -1.0, -2.0, 1.0, -1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 0.0, -1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, -1.0, 1.0, -1.0, 1.0, -2.0, 1.0, 2.0, 1.0, 2.0, 0.0, 2.0, 1.0, 0.0, -1.0, 2.0, 2.0, -1.0, 1.0, 2.0, 2.0, -1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, -2.0, -1.0, -1.0, 1.0, -1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, -1.0, -1.0, 0.0, 2.0, -2.0, 2.0, 0.0, 2.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 1.0, 0.0, 0.0, 1.0, -2.0, 2.0, -1.0, -1.0, 0.0, 1.0, -1.0, -1.0]"
1.8,Phone status and identifiers for personalization (push notifications):,"[-1.0, 1.0, -1.0, 2.0, -1.0, 0.0, 1.0, 0.0, 2.0, 0.0, -2.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, -1.0, 1.0, -1.0, 0.0, 1.0, 1.0, 1.0, -2.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, -2.0, 1.0, 1.0, -1.0, 0.0, 0.0, 2.0, -2.0, 0.0, 2.0, -1.0, -1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 2.0, 0.0, 1.0, 1.0, -1.0, 1.0, 1.0, 0.0, 1.0, 1.0, -1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 2.0, 0.0, 1.0, -1.0, 1.0, 0.0, 1.0, -1.0, 2.0, 2.0, 1.0, 1.0, -1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, -2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, -2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, -1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, -1.0, 2.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 2.0, -2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, -1.0, -1.0, -1.0, 2.0, 1.0, -1.0, 0.0, -1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, -2.0, 0.0, 1.0, -2.0, 1.0, 1.0, -2.0, 1.0, 2.0, -1.0, 0.0, 1.0, 0.0, 2.0]"
2.1,"Camera for app features (image uploads, QR code scanning):","[1.0, 0.0, 2.0, -1.0, 0.0, 0.0, -1.0, 1.0, 1.0, -1.0, 1.0, 0.0, -1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, -1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 0.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, -1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 2.0, 0.0, -2.0, 1.0, 2.0, 2.0, -1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 0.0, -2.0, 0.0, 0.0, -2.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, -1.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 1.0, -1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 0.0, -1.0, 1.0, 0.0, -1.0, 1.0, 0.0, -1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, -1.0, 1.0, 2.0, 2.0, 0.0, -2.0, 0.0, 2.0, 1.0, -1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 0.0, 2.0, 1.0, 1.0, -1.0, 1.0, 1.0, 0.0, 1.0, -2.0, 0.0, 1.0, 1.0, 1.0, -2.0]"
2.2,"Read and modify external storage for app features (file management, QR codes, cache management):","[0.0, 0.0, 2.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 2.0, -1.0, -1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, -2.0, 1.0, -1.0, 0.0, 2.0, 2.0, 1.0, 1.0, 1.0, -1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 2.0, 1.0, 1.0, -1.0, 2.0, 1.0, 1.0, -1.0, 1.0, 2.0, -1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, -1.0, -1.0, 2.0, 0.0, -1.0, 1.0, 0.0, 1.0, -1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, -1.0, 2.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0, -2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, -1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, -1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, -1.0, 1.0, 2.0, 0.0, 0.0, 2.0, -1.0, 1.0, -1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, -2.0, 1.0, 2.0, -1.0, 1.0, 2.0, 2.0, 1.0, 0.0, -1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, -1.0, 1.0, 1.0, -2.0, 1.0, -1.0, 0.0, 0.0, 1.0, 2.0, -2.0]"
